Times Metric,stroop_all Trait,Correlation,P-value
T2_std,RT_mean,-0.5588235294117646,0.0012750331727878694
T1+T2_cv,RT_mean,-0.5588235294117646,0.0012750331727878694
T2_std,RT_std,-0.5147058823529411,0.0033456623826434947
T1+T2_cv,RT_median,-0.5279138719240444,0.0033482101044280377
T2_skewness,RT_mean,-0.49999999999999994,0.004507537046975066
T1+T2_std,RT_mean,-0.49999999999999994,0.004507537046975066
T2_cv,RT_mean,-0.48529411764705876,0.00600683882392195
T2_std,RT_median,-0.48330143204313925,0.007233705859106978
T1+T2_skewness,RT_mean,-0.45588235294117646,0.010340361794472324
T2_outlier,RT_median,-0.49051147158797265,0.013318603831750257
T1+T2_std,RT_median,-0.438688992162234,0.014770366458602118
T2_skewness,RT_median,-0.438688992162234,0.014770366458602118
T2_cv,RT_median,-0.438688992162234,0.014770366458602118
T1+T2_cv,RT_std,-0.4264705882352941,0.017119110549244844
T2_outlier,RT_std,-0.467747276855785,0.017298794853766324
T1+T2_kurtosis,RT_outlier,-0.4734712619241063,0.018682708235127486
T2_cv,RT_std,-0.41176470588235287,0.02172533125679204
T2_kurtosis,RT_mean,-0.41176470588235287,0.02172533125679204
T1+T2_skewness,RT_std,-0.41176470588235287,0.02172533125679204
T2_outlier,RT_mean,-0.45042330363890404,0.02189781463571188
T1_median,RT_outlier,-0.46852128566581813,0.022880853226167303
T1+T2_median,RT_skew,-0.40590682253921034,0.02335853089921727
T1+T2_kurtosis,RT_std,-0.39705882352941174,0.027329794647271987
T2_skewness,RT_std,-0.39705882352941174,0.027329794647271987
T2_kurtosis,RT_std,-0.39705882352941174,0.027329794647271987
T1_kurtosis,RT_outlier,-0.4355935609701778,0.030490606843836057
T1_cv,RT_std,0.3823529411764705,0.034088901411189226
T1+T2_outlier,RT_median,-0.42323076600297377,0.034540106577126424
T1+T2_skewness,RT_median,-0.37920573898769383,0.03508378442810094
T1+T2_kurtosis,RT_skew,-0.3676470588235294,0.04217070212970702
T2_outlier,RT_iqr,-0.3984513839882613,0.04259511467865913
T2_kurtosis,RT_median,-0.3643349256940588,0.042893319882095764
T1+T2_median,RT_kurt,-0.3616260782622056,0.04336747644573645
T1_outlier,RT_mean,0.370579511163097,0.05925731170138014
T1+T2_skewness,RT_outlier,-0.378777009539285,0.05991185387038959
T1_std,RT_iqr,0.338235294117647,0.06302241248726353
T1+T2_std,RT_std,-0.338235294117647,0.06302241248726353
T2_std,RT_iqr,-0.338235294117647,0.06302241248726353
T2_cv,RT_iqr,-0.3235294117647059,0.07616914862439772
T3_std,RT_std,-0.3235294117647059,0.07616914862439772
T3_cv,RT_std,-0.3235294117647059,0.07616914862439772
T3_cv,RT_iqr,-0.3235294117647059,0.07616914862439772
T1_median,RT_skew,-0.318328007860187,0.08081736646586546
T1+T2_outlier,RT_mean,-0.3441302159595001,0.08303927159793
T2_kurtosis,RT_outlier,-0.34089930858535655,0.09039884175809138
T2_skewness,RT_outlier,-0.34089930858535655,0.09039884175809138
T1+T2_std,RT_outlier,-0.34089930858535655,0.09039884175809138
T3_iqr,RT_std,-0.30485167251951856,0.09041495312851279
T1_kurtosis,RT_kurt,-0.30882352941176466,0.09138624889203259
T1_std,RT_std,0.30882352941176466,0.09138624889203259
T1_iqr,RT_cv,0.3031695312954162,0.09634807418906276
T1+T2_outlier,RT_std,-0.325528582664392,0.10108325374717801
T1_kurtosis,RT_skew,-0.2941176470588235,0.10886459480774507
T1+T2_skewness,RT_skew,-0.2941176470588235,0.10886459480774507
T3_mean,RT_skew,-0.2941176470588235,0.10886459480774507
T1_cv,RT_iqr,0.2941176470588235,0.10886459480774507
T1+T2_median,RT_outlier,-0.3231507041569139,0.10953355900038687
T1_outlier,RT_median,0.3050174082760012,0.12368217553324626
T1_std,RT_median,0.27511004593224847,0.12629151442117303
T1_cv,RT_median,0.27511004593224847,0.12629151442117303
T1_cv,RT_mean,0.2794117647058823,0.12878898834482916
T1+T2_mean,RT_skew,-0.2794117647058823,0.12878898834482916
T1_cv,RT_cv,0.2794117647058823,0.12878898834482916
T1+T2_skewness,RT_kurt,-0.2794117647058823,0.12878898834482916
T1+T2_skewness,RT_cv,-0.2794117647058823,0.12878898834482916
T1+T2_cv,RT_iqr,-0.2794117647058823,0.12878898834482916
T1_iqr,RT_iqr,0.2728525781658746,0.1345130475910447
T3_nsamples,RT_outlier,-0.3151474257528698,0.13701748123022398
T1+T2_outlier,RT_iqr,-0.2883253160741758,0.14643519153898515
T1+T2_kurtosis,RT_mean,-0.2647058823529411,0.15133363966308636
T1+T2_kurtosis,RT_kurt,-0.2647058823529411,0.15133363966308636
T3_mean,RT_std,-0.2647058823529411,0.15133363966308636
T1_std,RT_mean,0.2647058823529411,0.15133363966308636
T3_std,RT_skew,-0.2647058823529411,0.15133363966308636
T1+T2_cv,RT_outlier,-0.2840827571544638,0.15822064245182277
T1_mean,RT_outlier,-0.2840827571544638,0.15822064245182277
T3_median,RT_skew,-0.2518587616520329,0.16063714530698736
T1_kurtosis,RT_median,0.24536841934497836,0.17269181727506389
T1_median,RT_kurt,-0.24253562503633294,0.18343341551567216
T1_median,RT_cv,-0.24253562503633294,0.18343341551567216
T3_mean,RT_outlier,-0.26514390667749954,0.18783553549120913
T2_median,RT_mean,0.2322504648034895,0.19943764592121516
T1+T2_kurtosis,RT_cv,-0.2352941176470588,0.20489900152579948
T2_std,RT_cv,-0.2352941176470588,0.20489900152579948
T3_skewness,RT_skew,-0.2352941176470588,0.20489900152579948
T3_nsamples,RT_skew,-0.23681586673150223,0.2062389526080478
T3_median,RT_std,-0.22222831910473492,0.2157601535185133
T3_median,RT_outlier,-0.24803560226854396,0.22073662634552083
T2_cv,RT_outlier,-0.24620505620053526,0.2213534436043294
T2_median,RT_median,0.21970327440389123,0.22857258652571422
T3_iqr,RT_iqr,-0.21562679275770827,0.23105782736248937
T1_median,RT_nsamples,0.25028392967696794,0.23465017061096693
T1_median,RT_noerrors,-0.25028392967696794,0.23465017061096693
T1_kurtosis,RT_mean,0.2205882352941176,0.23617204064651248
T3_std,RT_mean,-0.2205882352941176,0.23617204064651248
T3_kurtosis,RT_kurt,0.2205882352941176,0.23617204064651248
T1+T2_median,RT_median,0.208961042658501,0.24687805995819156
T1+T2_mean,RT_outlier,-0.227266205723571,0.25895476965886355
T3_std,RT_outlier,-0.227266205723571,0.25895476965886355
T3_median,RT_median,-0.20224860952824972,0.26376149575601615
T1+T2_kurtosis,RT_median,-0.2007559794640732,0.2645603853347738
T3_iqr,RT_cv,-0.2007559794640732,0.26483215380782166
T1+T2_median,RT_iqr,0.19926334924652145,0.26564583302330047
T1_mean,RT_skew,-0.20588235294117643,0.27056053596407176
T1+T2_skewness,RT_iqr,-0.20588235294117643,0.27056053596407176
T2_kurtosis,RT_kurt,-0.20588235294117643,0.27056053596407176
T1+T2_mean,RT_kurt,-0.20588235294117643,0.27056053596407176
T1_outlier,RT_cv,-0.2154532041645913,0.2727838917014883
T3_median,RT_mean,-0.19259787655743693,0.28334727160042916
T1+T2_nsamples,RT_skew,-0.21639460572527425,0.29206200648907354
T2_nsamples,RT_skew,-0.21639460572527425,0.29206200648907354
T1_nsamples,RT_skew,-0.21639460572527425,0.29206200648907354
T2_median,RT_cv,-0.18729876193829795,0.30076105085601823
T1+T2_iqr,RT_kurt,-0.18729876193829795,0.30076105085601823
T3_std,RT_median,-0.18588516617043815,0.30158783221376684
T1_kurtosis,RT_cv,-0.19117647058823525,0.30811454449876985
T1_skewness,RT_std,0.19117647058823525,0.30811454449876985
T3_kurtosis,RT_mean,-0.19117647058823525,0.30811454449876985
T3_mean,RT_cv,-0.19117647058823525,0.30811454449876985
T3_cv,RT_mean,-0.19117647058823525,0.30811454449876985
T3_std,RT_cv,-0.19117647058823525,0.30811454449876985
T2_kurtosis,RT_skew,-0.19117647058823525,0.30811454449876985
T2_kurtosis,RT_iqr,-0.19117647058823525,0.30811454449876985
T2_skewness,RT_iqr,-0.19117647058823525,0.30811454449876985
T3_mean,RT_kurt,-0.19117647058823525,0.30811454449876985
T1_iqr,RT_std,0.1819017187772497,0.31842815555351556
T3_median,RT_cv,-0.17778265528378795,0.3220251244211586
T3_nsamples,RT_noerrors,-0.21102143546322844,0.33042294341135303
T3_nsamples,RT_nsamples,0.21102143546322844,0.33042294341135303
T1+T2_nsamples,RT_cv,0.1967223688411584,0.33815036237912754
T1_nsamples,RT_cv,0.1967223688411584,0.33815036237912754
T1+T2_nsamples,RT_iqr,0.1967223688411584,0.33815036237912754
T2_nsamples,RT_cv,0.1967223688411584,0.33815036237912754
T1_nsamples,RT_iqr,0.1967223688411584,0.33815036237912754
T2_nsamples,RT_iqr,0.1967223688411584,0.33815036237912754
T1+T2_median,RT_cv,-0.16974285306185158,0.34300969164029527
T2_std,RT_outlier,-0.1893885047696425,0.34684792186514735
T1_std,RT_cv,0.1764705882352941,0.34884640290128766
T1_kurtosis,RT_iqr,0.1764705882352941,0.34884640290128766
T2_kurtosis,RT_cv,-0.1764705882352941,0.34884640290128766
T1+T2_mean,RT_cv,-0.1764705882352941,0.34884640290128766
T1+T2_iqr,RT_iqr,0.1573309600281703,0.38471899688314337
T3_kurtosis,RT_median,-0.15614353958316804,0.38553184300905474
T1+T2_median,RT_mean,0.15498260496951669,0.3866107992131591
T3_cv,RT_cv,-0.16176470588235295,0.3927276123262421
T1_mean,RT_cv,-0.16176470588235295,0.3927276123262421
T1+T2_std,RT_iqr,-0.16176470588235295,0.3927276123262421
T1_outlier,RT_outlier,-0.1886793614934076,0.3971069325121752
T3_skewness,RT_outlier,-0.17044965429267828,0.3971909150949462
T3_nsamples,RT_std,-0.15787724448766816,0.39942416906003086
T3_cv,RT_noerrors,-0.1734364837735801,0.3995171285896836
T1+T2_std,RT_noerrors,0.1734364837735801,0.3995171285896836
T3_cv,RT_nsamples,0.1734364837735801,0.3995171285896836
T1+T2_std,RT_nsamples,-0.1734364837735801,0.3995171285896836
T3_outlier,RT_iqr,0.1688801323682996,0.4067868333984651
T3_median,RT_kurt,-0.14815221273648993,0.4092273660485408
T1+T2_iqr,RT_cv,0.14234705907310646,0.4316038598682943
T1+T2_iqr,RT_skew,-0.14234705907310646,0.4316038598682943
T3_mean,RT_median,-0.141272726289533,0.43239136789341204
T3_cv,RT_median,-0.141272726289533,0.43239136789341204
T3_iqr,RT_skew,-0.141272726289533,0.43265315873173793
T1+T2_cv,RT_cv,-0.14705882352941174,0.43968652710486045
T1+T2_std,RT_cv,-0.14705882352941174,0.43968652710486045
T3_std,RT_iqr,-0.14705882352941174,0.43968652710486045
T2_mean,RT_std,-0.14705882352941174,0.43968652710486045
T1_nsamples,RT_std,0.1573778950729267,0.4435210021395698
T2_nsamples,RT_std,0.1573778950729267,0.4435210021395698
T1+T2_nsamples,RT_std,0.1573778950729267,0.4435210021395698
T3_iqr,RT_noerrors,-0.1519974097703536,0.46444083245822143
T3_iqr,RT_nsamples,0.1519974097703536,0.46444083245822143
T2_mean,RT_nsamples,-0.15031161927043607,0.46529682479468804
T2_mean,RT_noerrors,0.15031161927043607,0.46529682479468804
T3_outlier,RT_kurt,0.14777011582226215,0.467920807331738
T2_outlier,RT_nsamples,0.16345072958495868,0.47363769514805876
T2_outlier,RT_noerrors,-0.16345072958495868,0.47363769514805876
T2_median,RT_kurt,-0.1273631581180426,0.4816408910812593
T2_median,RT_skew,-0.1273631581180426,0.4816408910812593
T2_mean,RT_median,-0.12640191299589792,0.4823902526525642
T3_iqr,RT_mean,-0.12640191299589795,0.4826393275600859
T2_cv,RT_cv,-0.13235294117647056,0.4896069682169023
T3_mean,RT_mean,-0.13235294117647056,0.4896069682169023
T2_mean,RT_cv,-0.13235294117647056,0.4896069682169023
T2_mean,RT_mean,-0.13235294117647056,0.4896069682169023
T3_kurtosis,RT_cv,0.13235294117647056,0.4896069682169023
T3_skewness,RT_cv,-0.13235294117647056,0.4896069682169023
T3_std,RT_kurt,-0.13235294117647056,0.4896069682169023
T3_nsamples,RT_kurt,-0.12630179559013452,0.5002349802074704
T1_median,RT_std,-0.12126781251816647,0.5059681189012846
T1_iqr,RT_outlier,-0.1366520416525303,0.5069056104290315
T1_outlier,RT_kurt,-0.12927192249875477,0.5105352735357656
T2_outlier,RT_outlier,-0.14501849318227705,0.5152516955698101
T1_median,RT_median,0.11496362615343107,0.5316789430567059
T1+T2_iqr,RT_mean,-0.11237925716297878,0.5346775060843156
T3_skewness,RT_median,0.11153109970226288,0.5353759051212423
T3_median,RT_nsamples,-0.1281323942169239,0.5361724905717393
T3_median,RT_noerrors,0.1281323942169239,0.5361724905717393
T2_std,RT_noerrors,0.12718675476729208,0.5366929751215133
T3_kurtosis,RT_nsamples,0.12718675476729208,0.5366929751215133
T2_std,RT_nsamples,-0.12718675476729208,0.5366929751215133
T3_kurtosis,RT_noerrors,-0.12718675476729208,0.5366929751215133
T2_outlier,RT_cv,-0.12126781251816648,0.5371598949094402
T1_cv,RT_skew,0.1176470588235294,0.5423278567488096
T2_mean,RT_iqr,-0.1176470588235294,0.5423278567488096
T1_mean,RT_std,-0.1176470588235294,0.5423278567488096
T1+T2_nsamples,RT_nsamples,0.13920485060019283,0.5602888549531477
T1+T2_nsamples,RT_noerrors,-0.13920485060019283,0.5602888549531477
T2_nsamples,RT_nsamples,0.13920485060019283,0.5602888549531477
T1_nsamples,RT_noerrors,-0.13920485060019283,0.5602888549531477
T1_nsamples,RT_nsamples,0.13920485060019283,0.5602888549531477
T2_nsamples,RT_noerrors,-0.13920485060019283,0.5602888549531477
T1_nsamples,RT_mean,0.11803342130469503,0.5654970679882665
T1+T2_nsamples,RT_mean,0.11803342130469503,0.5654970679882665
T2_nsamples,RT_mean,0.11803342130469503,0.5654970679882665
T1+T2_outlier,RT_nsamples,0.13162903634288353,0.5681269654087566
T1+T2_outlier,RT_noerrors,-0.13162903634288353,0.5681269654087566
T1_skewness,RT_outlier,0.1136331028617855,0.5724598115575816
T1+T2_iqr,RT_std,0.09739535620791494,0.5905097962264776
T2_iqr,RT_skew,-0.095941612600177,0.5919868384147184
T1+T2_kurtosis,RT_iqr,-0.10294117647058822,0.5976439315443395
T2_skewness,RT_skew,-0.10294117647058822,0.5976439315443395
T1+T2_mean,RT_std,-0.10294117647058822,0.5976439315443395
T2_iqr,RT_outlier,0.10454875722723686,0.6046383521146115
T1_iqr,RT_noerrors,0.10726454129012913,0.6105123540900065
T1_iqr,RT_nsamples,-0.10726454129012913,0.6105123540900065
T3_nsamples,RT_mean,-0.09472634669260088,0.6131444658484531
T3_nsamples,RT_cv,-0.09472634669260088,0.6131444658484531
T3_nsamples,RT_iqr,-0.09472634669260088,0.6131444658484531
T3_std,RT_nsamples,0.10406189026414805,0.613214467073579
T1+T2_cv,RT_noerrors,0.10406189026414805,0.613214467073579
T1+T2_cv,RT_nsamples,-0.10406189026414805,0.613214467073579
T3_std,RT_noerrors,-0.10406189026414805,0.613214467073579
T1_median,RT_iqr,0.09095085938862485,0.6178874586644902
T3_iqr,RT_median,-0.09022556390977442,0.619116327154979
T1+T2_nsamples,RT_outlier,-0.11400628318608146,0.625304031053532
T1_nsamples,RT_outlier,-0.11400628318608146,0.625304031053532
T2_nsamples,RT_outlier,-0.11400628318608146,0.625304031053532
T1+T2_nsamples,RT_median,0.09946433500242821,0.631135485820585
T1_nsamples,RT_median,0.09946433500242821,0.631135485820585
T2_nsamples,RT_median,0.09946433500242821,0.631135485820585
T1_std,RT_outlier,-0.09469425238482125,0.6380975269385074
T3_iqr,RT_kurt,-0.08178947311499278,0.6496297363937644
T2_iqr,RT_kurt,-0.08118136450784207,0.6501859872228386
T1+T2_iqr,RT_noerrors,-0.09424818477351175,0.6519602375744651
T1+T2_iqr,RT_nsamples,0.09424818477351175,0.6519602375744651
T2_iqr,RT_noerrors,0.09284141650970551,0.6529904849574311
T2_iqr,RT_nsamples,-0.09284141650970551,0.6529904849574311
T3_kurtosis,RT_skew,0.08823529411764705,0.6553075802476113
T2_skewness,RT_kurt,-0.08823529411764705,0.6553075802476113
T2_skewness,RT_cv,-0.08823529411764705,0.6553075802476113
T1+T2_cv,RT_kurt,-0.08823529411764705,0.6553075802476113
T1+T2_std,RT_kurt,-0.08823529411764705,0.6553075802476113
T2_std,RT_kurt,-0.08823529411764705,0.6553075802476113
T1+T2_outlier,RT_outlier,-0.0958238460361173,0.6705977736843272
T1_iqr,RT_kurt,-0.07579238282385405,0.6776255186268242
T3_outlier,RT_std,0.0844400661841498,0.6783024655972324
T1_outlier,RT_iqr,0.07756315349925287,0.6929885255564119
T1_std,RT_noerrors,0.08093702576100405,0.6942019245438966
T1_std,RT_nsamples,-0.08093702576100405,0.6942019245438966
T3_mean,RT_noerrors,0.08093702576100405,0.6942019245438966
T3_mean,RT_nsamples,-0.08093702576100405,0.6942019245438966
T1+T2_kurtosis,RT_noerrors,0.08093702576100405,0.6942019245438966
T1+T2_kurtosis,RT_nsamples,-0.08093702576100405,0.6942019245438966
T1_nsamples,RT_kurt,-0.07868894753646336,0.7016229956930677
T1+T2_nsamples,RT_kurt,-0.07868894753646336,0.7016229956930677
T2_nsamples,RT_kurt,-0.07868894753646336,0.7016229956930677
T3_iqr,RT_outlier,-0.07660502176740978,0.7061412526959987
T1+T2_iqr,RT_median,-0.06818377481500074,0.7086507283178628
T1_skewness,RT_median,0.06691865982135772,0.7099729939467088
T2_iqr,RT_mean,-0.06642111641550714,0.7106013435270542
T3_cv,RT_kurt,0.07352941176470587,0.7150317752938318
T1_mean,RT_kurt,-0.07352941176470587,0.7150317752938318
T1_skewness,RT_iqr,0.07352941176470587,0.7150317752938318
T2_outlier,RT_kurt,-0.0692958928675237,0.7243611504559215
T3_outlier,RT_outlier,-0.08155908717405552,0.724381294676285
T2_median,RT_nsamples,0.07068613858013381,0.7351518155965936
T2_median,RT_noerrors,-0.07068613858013381,0.7351518155965936
T1+T2_median,RT_noerrors,0.06963106238227915,0.7359595499986498
T1+T2_median,RT_nsamples,-0.06963106238227915,0.7359595499986498
T1_median,RT_mean,0.060633906259083235,0.739463121826426
T3_outlier,RT_median,0.06404031539506061,0.7551275562625641
T3_outlier,RT_cv,0.06333004963811235,0.7557356175737271
T3_nsamples,RT_median,-0.05587676002093454,0.7673950019304225
T1+T2_mean,RT_median,0.05204784652772268,0.7723903679045037
T2_iqr,RT_iqr,-0.051660868323172224,0.7728925885694502
T2_iqr,RT_cv,-0.051660868323172224,0.7728925885694502
T1_skewness,RT_cv,0.0588235294117647,0.7764940676883935
T3_cv,RT_skew,-0.0588235294117647,0.7764940676883935
T1_skewness,RT_kurt,0.0588235294117647,0.7764940676883935
T1_kurtosis,RT_std,-0.0588235294117647,0.7764940676883935
T3_kurtosis,RT_iqr,-0.0588235294117647,0.7764940676883935
T3_mean,RT_iqr,-0.0588235294117647,0.7764940676883935
T1_std,RT_kurt,-0.0588235294117647,0.7764940676883935
T3_cv,RT_outlier,0.05681655143089275,0.7777776907897473
T1+T2_skewness,RT_noerrors,-0.057812161257860026,0.7788423433329366
T1_kurtosis,RT_noerrors,0.057812161257860026,0.7788423433329366
T1_kurtosis,RT_nsamples,-0.057812161257860026,0.7788423433329366
T1+T2_skewness,RT_nsamples,0.057812161257860026,0.7788423433329366
T2_kurtosis,RT_nsamples,0.057812161257860026,0.7788423433329366
T2_kurtosis,RT_noerrors,-0.057812161257860026,0.7788423433329366
T2_cv,RT_noerrors,0.057812161257860026,0.7788423433329366
T2_cv,RT_nsamples,-0.057812161257860026,0.7788423433329366
T2_iqr,RT_median,-0.044777366283964504,0.8040295742870002
T3_outlier,RT_skew,-0.0422200330920749,0.8357050269952793
T3_outlier,RT_mean,0.0422200330920749,0.8357050269952793
T2_median,RT_iqr,-0.03745975238765959,0.836040672141628
T1_mean,RT_median,0.03717703323408763,0.8363168973110358
T3_skewness,RT_mean,0.044117647058823525,0.8393415533036079
T1+T2_std,RT_skew,-0.044117647058823525,0.8393415533036079
T1_mean,RT_mean,-0.044117647058823525,0.8393415533036079
T1+T2_cv,RT_skew,0.044117647058823525,0.8393415533036079
T2_mean,RT_kurt,-0.044117647058823525,0.8393415533036079
T2_outlier,RT_skew,-0.03464794643376185,0.8600440196245438
T1+T2_mean,RT_nsamples,-0.03468729675471602,0.8661924712241905
T1+T2_mean,RT_noerrors,0.03468729675471602,0.8661924712241905
T1_mean,RT_noerrors,0.03468729675471602,0.8661924712241905
T1_mean,RT_nsamples,-0.03468729675471602,0.8661924712241905
T2_skewness,RT_nsamples,-0.03468729675471602,0.8661924712241905
T2_skewness,RT_noerrors,0.03468729675471602,0.8661924712241905
T1_cv,RT_noerrors,0.03468729675471602,0.8661924712241905
T1_cv,RT_nsamples,-0.03468729675471602,0.8661924712241905
T1_skewness,RT_nsamples,0.03468729675471602,0.8661924712241905
T1_skewness,RT_noerrors,-0.03468729675471602,0.8661924712241905
T3_skewness,RT_nsamples,-0.03468729675471602,0.8661924712241905
T3_skewness,RT_noerrors,0.03468729675471602,0.8661924712241905
T1_iqr,RT_skew,0.030316953129541618,0.8679348744445702
T1+T2_iqr,RT_outlier,0.028945341694458778,0.88734308961404
T1+T2_outlier,RT_skew,0.02790244994266217,0.8882339449173687
T1+T2_outlier,RT_cv,-0.02790244994266217,0.8882339449173687
T1_outlier,RT_std,0.025854384499750957,0.8952999819820893
T2_median,RT_std,0.022475851432595752,0.901175665626171
T1+T2_median,RT_std,0.022140372138502385,0.9015663813697545
T2_mean,RT_skew,-0.02941176470588235,0.9031966906069087
T3_skewness,RT_std,-0.02941176470588235,0.9031966906069087
T2_cv,RT_skew,0.02941176470588235,0.9031966906069087
T3_kurtosis,RT_std,0.02941176470588235,0.9031966906069087
T1_mean,RT_iqr,0.02941176470588235,0.9031966906069087
T2_median,RT_outlier,-0.01929689446297252,0.9247559672825929
T2_mean,RT_outlier,0.018938850476964253,0.9250518935055844
T1_cv,RT_outlier,0.018938850476964253,0.9250518935055844
T1_iqr,RT_mean,-0.015158476564770809,0.9337393464207391
T3_median,RT_iqr,-0.014815221273648994,0.9342289159609931
T3_outlier,RT_nsamples,0.016597653257732305,0.9441197394828191
T3_outlier,RT_noerrors,-0.016597653257732305,0.9441197394828191
T1+T2_outlier,RT_kurt,0.009300816647554055,0.9626356350505445
T1_outlier,RT_skew,-0.008618128166583652,0.9650104495313001
T1_iqr,RT_median,0.007664241743562072,0.9667407695128499
T2_iqr,RT_std,-0.0073801240461674605,0.9671144342016654
T1+T2_mean,RT_iqr,-0.014705882352941175,0.9676638168395322
T1_cv,RT_kurt,0.014705882352941175,0.9676638168395322
T1_std,RT_skew,-0.014705882352941175,0.9676638168395322
T2_cv,RT_kurt,0.014705882352941175,0.9676638168395322
T2_std,RT_skew,-0.014705882352941175,0.9676638168395322
T1_skewness,RT_skew,0.014705882352941175,0.9676638168395322
T3_skewness,RT_kurt,-0.014705882352941175,0.9676638168395322
T3_skewness,RT_iqr,0.0,1.0
T1+T2_mean,RT_mean,0.0,1.0
T3_kurtosis,RT_outlier,0.0,1.0
T1_skewness,RT_mean,0.0,1.0
T1_outlier,RT_noerrors,0.0,1.0
T1_outlier,RT_nsamples,0.0,1.0
