SUBJECT,TRIAL,REACTION_TIME,CORRECT,TYPE_OF_TASK
IDU002,1,406,1,0
IDU002,2,345,1,0
IDU002,3,-1,1,0
IDU002,4,327,1,0
IDU002,5,383,1,0
IDU002,6,-1,1,0
IDU002,7,347,1,0
IDU002,8,367,1,0
IDU002,9,348,1,0
IDU002,10,-1,1,0
IDU002,11,413,1,0
IDU002,12,352,1,0
IDU002,13,389,1,0
IDU002,14,349,1,0
IDU002,15,343,1,0
IDU002,16,344,1,0
IDU002,17,350,1,0
IDU002,18,371,1,0
IDU002,19,-1,1,0
IDU002,20,395,1,0
IDU002,21,403,1,0
IDU002,22,342,1,0
IDU002,23,-1,1,0
IDU002,24,307,1,0
IDU002,25,344,1,0
IDU002,26,371,1,0
IDU002,27,392,1,0
IDU002,28,333,1,0
IDU002,29,343,1,0
IDU002,30,-1,1,0
IDU002,31,307,1,0
IDU002,32,-1,1,0
IDU002,33,344,1,0
IDU002,34,356,1,0
IDU002,35,359,1,0
IDU002,36,363,1,0
IDU002,37,-1,1,0
IDU002,38,334,1,0
IDU002,39,369,1,0
IDU002,40,368,1,0
IDU002,41,409,1,0
IDU002,42,-1,1,0
IDU002,43,323,1,0
IDU002,44,-1,1,0
IDU002,45,387,1,0
IDU002,46,-1,1,0
IDU002,47,433,1,0
IDU002,48,559,1,0
IDU002,49,420,1,0
IDU002,50,538,1,0
IDU002,51,365,1,0
IDU002,52,-1,1,0
IDU002,53,428,1,0
IDU002,54,363,1,0
IDU002,55,336,1,0
IDU002,56,358,1,0
IDU002,57,299,1,0
IDU002,58,366,1,0
IDU002,59,279,1,0
IDU002,60,-1,1,0
IDU002,61,320,1,0
IDU002,62,316,1,0
IDU002,63,329,1,0
IDU002,64,-1,1,0
IDU002,65,349,1,0
IDU002,66,332,1,0
IDU002,67,-1,1,0
IDU002,68,326,1,0
IDU002,69,330,1,0
IDU002,70,336,1,0
IDU002,71,297,1,0
IDU002,72,-1,1,0
IDU002,73,379,1,0
IDU002,74,382,1,0
IDU002,75,441,1,0
IDU002,76,321,1,0
IDU002,77,-1,1,0
IDU002,1,1078,1,1
IDU002,2,616,1,1
IDU002,3,949,1,1
IDU002,4,453,1,1
IDU002,5,751,1,1
IDU002,6,612,1,1
IDU002,7,811,1,1
IDU002,8,497,1,1
IDU002,9,798,1,1
IDU002,10,770,1,1
IDU002,11,497,1,1
IDU002,12,654,1,1
IDU002,13,833,1,1
IDU002,14,1087,1,1
IDU002,15,662,1,1
IDU002,16,765,1,1
IDU002,17,674,1,1
IDU002,18,959,1,1
IDU002,19,662,1,1
IDU002,20,755,1,1
IDU002,21,707,1,1
IDU002,22,589,1,1
IDU002,23,716,1,1
IDU002,24,633,1,1
IDU002,1,834,-1,2
IDU002,1,1168,-1,4
IDU002,1,2002,-1,5
IDU002,1,467,-1,3
IDU002,2,668,-1,2
IDU002,2,2135,-1,4
IDU002,2,2803,-1,5
IDU002,2,700,-1,3
IDU002,3,701,-1,2
IDU002,3,1234,-1,4
IDU002,3,1935,-1,5
IDU002,3,133,-1,3
IDU002,4,267,-1,2
IDU002,4,1835,-1,4
IDU002,4,2102,-1,5
IDU002,5,768,-1,2
IDU002,5,1901,-1,4
IDU002,5,2669,-1,5
IDU002,5,300,-1,3
IDU002,6,634,-1,2
IDU002,6,1301,-1,4
IDU002,6,1935,-1,5
IDU002,7,633,-1,2
IDU002,7,1001,-1,4
IDU002,7,1634,-1,5
IDU002,7,667,-1,3
IDU002,8,834,-1,2
IDU002,8,1535,-1,4
IDU002,8,2369,-1,5
IDU002,9,634,-1,2
IDU002,9,734,-1,4
IDU002,9,1368,-1,5
IDU002,9,366,-1,3
IDU002,10,667,-1,2
IDU002,10,834,-1,4
IDU002,10,1501,-1,5
IDU002,10,134,-1,3
IDU002,11,734,-1,2
IDU002,11,1301,-1,4
IDU002,11,2035,-1,5
IDU002,12,934,-1,2
IDU002,12,700,-1,4
IDU002,12,1634,-1,5
IDU002,12,500,-1,3
IDU002,13,667,-1,2
IDU002,13,1268,-1,4
IDU002,13,1935,-1,5
IDU002,13,467,-1,3
IDU002,14,667,-1,2
IDU002,14,2535,-1,4
IDU002,14,3202,-1,5
IDU002,15,834,-1,2
IDU002,15,1134,-1,4
IDU002,15,1968,-1,5
IDU002,15,367,-1,3
IDU002,16,701,-1,2
IDU002,16,1335,-1,4
IDU002,16,2036,-1,5
IDU002,16,567,-1,3
IDU002,17,567,-1,2
IDU002,17,1134,-1,4
IDU002,17,1701,-1,5
IDU002,17,267,-1,3
IDU005,1,687,1,0
IDU005,2,466,1,0
IDU005,3,435,1,0
IDU005,4,465,1,0
IDU005,5,-1,1,0
IDU005,6,431,1,0
IDU005,7,469,1,0
IDU005,8,339,1,0
IDU005,9,370,1,0
IDU005,10,-1,1,0
IDU005,11,383,1,0
IDU005,12,-1,1,0
IDU005,13,407,1,0
IDU005,14,-1,1,0
IDU005,15,336,1,0
IDU005,16,508,1,0
IDU005,17,406,1,0
IDU005,18,-1,1,0
IDU005,19,309,1,0
IDU005,20,371,1,0
IDU005,21,365,1,0
IDU005,22,397,1,0
IDU005,23,-1,1,0
IDU005,24,478,1,0
IDU005,25,414,1,0
IDU005,26,354,1,0
IDU005,27,-1,1,0
IDU005,28,349,1,0
IDU005,29,401,1,0
IDU005,30,366,1,0
IDU005,31,346,1,0
IDU005,32,306,1,0
IDU005,33,466,1,0
IDU005,34,373,1,0
IDU005,35,432,1,0
IDU005,36,349,1,0
IDU005,37,-1,1,0
IDU005,38,344,1,0
IDU005,39,335,1,0
IDU005,40,-1,1,0
IDU005,41,283,1,0
IDU005,42,336,1,0
IDU005,43,322,1,0
IDU005,44,-1,1,0
IDU005,45,272,1,0
IDU005,46,311,1,0
IDU005,47,-1,1,0
IDU005,48,284,1,0
IDU005,49,376,1,0
IDU005,50,-1,1,0
IDU005,51,300,1,0
IDU005,52,322,1,0
IDU005,53,366,1,0
IDU005,54,-1,1,0
IDU005,55,291,1,0
IDU005,56,338,1,0
IDU005,57,319,1,0
IDU005,58,329,1,0
IDU005,59,337,1,0
IDU005,60,326,1,0
IDU005,61,330,1,0
IDU005,62,378,1,0
IDU005,63,318,1,0
IDU005,64,386,1,0
IDU005,65,287,1,0
IDU005,66,-1,1,0
IDU005,67,300,1,0
IDU005,68,321,1,0
IDU005,69,454,1,0
IDU005,70,282,0,0
IDU005,71,421,1,0
IDU005,72,485,1,0
IDU005,73,367,1,0
IDU005,74,-1,1,0
IDU005,75,369,1,0
IDU005,76,-1,1,0
IDU005,77,322,1,0
IDU005,1,1059,1,1
IDU005,2,1039,1,1
IDU005,3,682,1,1
IDU005,4,1172,1,1
IDU005,5,1417,1,1
IDU005,6,2469,1,1
IDU005,7,1194,1,1
IDU005,8,1327,1,1
IDU005,9,1753,1,1
IDU005,10,827,1,1
IDU005,11,839,1,1
IDU005,12,2009,1,1
IDU005,13,2044,1,1
IDU005,14,904,1,1
IDU005,15,1687,1,1
IDU005,16,1136,1,1
IDU005,17,901,1,1
IDU005,18,652,1,1
IDU005,19,1061,1,1
IDU005,20,1052,1,1
IDU005,21,872,1,1
IDU005,22,941,1,1
IDU005,23,1085,1,1
IDU005,24,1030,1,1
IDU005,1,667,-1,2
IDU005,1,1301,-1,4
IDU005,1,1968,-1,5
IDU005,1,367,0,6
IDU005,1,534,-1,3
IDU005,2,633,-1,2
IDU005,2,2035,-1,4
IDU005,2,2668,-1,5
IDU005,3,800,-1,2
IDU005,3,1401,-1,4
IDU005,3,2201,-1,5
IDU005,4,735,-1,2
IDU005,4,1668,-1,4
IDU005,4,2403,-1,5
IDU005,4,501,-1,3
IDU005,5,567,-1,2
IDU005,5,1568,-1,4
IDU005,5,2135,-1,5
IDU005,5,534,-1,3
IDU005,6,634,-1,2
IDU005,6,1101,-1,4
IDU005,6,1735,-1,5
IDU005,6,433,0,6
IDU005,6,301,-1,3
IDU005,7,567,-1,2
IDU005,7,1435,-1,4
IDU005,7,2002,-1,5
IDU005,7,300,-1,3
IDU005,8,500,-1,2
IDU005,8,1234,-1,4
IDU005,8,1734,-1,5
IDU005,8,634,0,6
IDU005,9,700,-1,2
IDU005,9,1267,-1,4
IDU005,9,1967,-1,5
IDU005,9,734,0,6
IDU005,9,734,-1,3
IDU005,10,567,-1,2
IDU005,10,1268,-1,4
IDU005,10,1835,-1,5
IDU005,11,500,-1,2
IDU005,11,1734,-1,4
IDU005,11,2234,-1,5
IDU005,12,634,-1,2
IDU005,12,2835,-1,4
IDU005,12,3469,-1,5
IDU005,12,500,-1,3
IDU005,13,601,-1,2
IDU005,13,1935,-1,4
IDU005,13,2536,-1,5
IDU005,13,300,-1,3
IDU005,14,466,-1,2
IDU005,14,1868,-1,4
IDU005,14,2334,-1,5
IDU005,14,500,-1,3
IDU005,15,700,-1,2
IDU005,15,1834,-1,4
IDU005,15,2534,-1,5
IDU005,15,200,-1,3
IDU005,16,600,-1,2
IDU005,16,1768,-1,4
IDU005,16,2368,-1,5
IDU005,16,367,-1,3
IDU005,17,834,-1,2
IDU005,17,1501,-1,4
IDU005,17,2335,-1,5
IDU005,17,334,-1,3
IDU008,1,323,1,0
IDU008,2,322,1,0
IDU008,3,306,1,0
IDU008,4,-1,1,0
IDU008,5,394,1,0
IDU008,6,364,1,0
IDU008,7,-1,1,0
IDU008,8,306,1,0
IDU008,9,-1,1,0
IDU008,10,371,1,0
IDU008,11,353,1,0
IDU008,12,379,1,0
IDU008,13,-1,1,0
IDU008,14,349,1,0
IDU008,15,326,1,0
IDU008,16,-1,1,0
IDU008,17,328,1,0
IDU008,18,448,1,0
IDU008,19,388,1,0
IDU008,20,314,1,0
IDU008,21,-1,1,0
IDU008,22,343,1,0
IDU008,23,-1,1,0
IDU008,24,384,1,0
IDU008,25,-1,1,0
IDU008,26,324,1,0
IDU008,27,336,1,0
IDU008,28,340,1,0
IDU008,29,-1,1,0
IDU008,30,305,1,0
IDU008,31,282,1,0
IDU008,32,-1,1,0
IDU008,33,358,1,0
IDU008,34,344,1,0
IDU008,35,347,1,0
IDU008,36,344,1,0
IDU008,37,330,1,0
IDU008,38,319,1,0
IDU008,39,419,1,0
IDU008,40,-1,1,0
IDU008,41,305,1,0
IDU008,42,347,1,0
IDU008,43,390,1,0
IDU008,44,-1,1,0
IDU008,45,343,1,0
IDU008,46,332,1,0
IDU008,47,345,1,0
IDU008,48,339,1,0
IDU008,49,308,1,0
IDU008,50,-1,1,0
IDU008,51,319,1,0
IDU008,52,280,1,0
IDU008,53,361,1,0
IDU008,54,312,1,0
IDU008,55,360,1,0
IDU008,56,327,1,0
IDU008,57,341,1,0
IDU008,58,325,0,0
IDU008,59,413,1,0
IDU008,60,351,1,0
IDU008,61,366,1,0
IDU008,62,333,1,0
IDU008,63,-1,1,0
IDU008,64,333,1,0
IDU008,65,315,1,0
IDU008,66,445,1,0
IDU008,67,-1,1,0
IDU008,68,353,1,0
IDU008,69,348,1,0
IDU008,70,375,1,0
IDU008,71,354,1,0
IDU008,72,344,1,0
IDU008,73,387,1,0
IDU008,74,-1,1,0
IDU008,75,322,1,0
IDU008,76,341,1,0
IDU008,77,332,1,0
IDU008,1,1195,1,1
IDU008,2,1123,1,1
IDU008,3,1416,1,1
IDU008,4,924,1,1
IDU008,5,968,1,1
IDU008,6,1007,1,1
IDU008,7,861,1,1
IDU008,8,935,1,1
IDU008,9,902,1,1
IDU008,10,1063,1,1
IDU008,11,944,1,1
IDU008,12,969,1,1
IDU008,13,937,1,1
IDU008,14,806,1,1
IDU008,15,905,1,1
IDU008,16,1116,1,1
IDU008,17,833,1,1
IDU008,18,914,1,1
IDU008,19,778,1,1
IDU008,20,1010,1,1
IDU008,21,894,1,1
IDU008,22,797,1,1
IDU008,23,947,1,1
IDU008,24,1512,1,1
IDU008,1,500,-1,2
IDU008,1,1135,-1,4
IDU008,1,1635,-1,5
IDU008,2,800,-1,2
IDU008,2,568,-1,4
IDU008,2,1368,-1,5
IDU008,2,233,-1,3
IDU008,3,567,-1,2
IDU008,3,1001,-1,4
IDU008,3,1568,-1,5
IDU008,4,667,-1,2
IDU008,4,1234,-1,4
IDU008,4,1901,-1,5
IDU008,4,167,-1,3
IDU008,5,767,-1,2
IDU008,5,467,-1,4
IDU008,5,1234,-1,5
IDU008,5,267,-1,3
IDU008,6,634,-1,2
IDU008,6,1634,-1,4
IDU008,6,2268,-1,5
IDU008,6,300,-1,3
IDU008,7,601,-1,2
IDU008,7,2268,-1,4
IDU008,7,2869,-1,5
IDU008,7,167,-1,3
IDU008,8,834,-1,2
IDU008,8,1068,-1,4
IDU008,8,1902,-1,5
IDU008,8,200,-1,3
IDU008,9,934,-1,2
IDU008,9,1235,-1,4
IDU008,9,2169,-1,5
IDU008,9,200,-1,3
IDU008,10,733,-1,2
IDU008,10,1167,-1,4
IDU008,10,1900,-1,5
IDU008,10,233,-1,3
IDU008,11,534,-1,2
IDU008,11,1234,-1,4
IDU008,11,1768,-1,5
IDU008,12,800,-1,2
IDU008,12,867,-1,4
IDU008,12,1667,-1,5
IDU008,13,601,-1,2
IDU008,13,1067,-1,4
IDU008,13,1668,-1,5
IDU008,13,266,-1,3
IDU008,14,568,-1,2
IDU008,14,1801,-1,4
IDU008,14,2369,-1,5
IDU008,14,233,-1,3
IDU008,15,667,-1,2
IDU008,15,1301,-1,4
IDU008,15,1968,-1,5
IDU008,15,233,-1,3
IDU008,16,934,-1,2
IDU008,16,1234,-1,4
IDU008,16,2168,-1,5
IDU008,16,367,-1,3
IDU008,17,600,-1,2
IDU008,17,2201,-1,4
IDU008,17,2801,-1,5
IDU010,1,418,1,0
IDU010,2,-1,1,0
IDU010,3,335,1,0
IDU010,4,481,1,0
IDU010,5,369,1,0
IDU010,6,-1,1,0
IDU010,7,265,1,0
IDU010,8,381,1,0
IDU010,9,363,1,0
IDU010,10,330,1,0
IDU010,11,-1,1,0
IDU010,12,280,1,0
IDU010,13,346,1,0
IDU010,14,347,1,0
IDU010,15,304,1,0
IDU010,16,-1,1,0
IDU010,17,270,1,0
IDU010,18,361,1,0
IDU010,19,-1,1,0
IDU010,20,333,1,0
IDU010,21,308,1,0
IDU010,22,-1,1,0
IDU010,23,265,1,0
IDU010,24,344,1,0
IDU010,25,329,1,0
IDU010,26,-1,1,0
IDU010,27,233,1,0
IDU010,28,283,1,0
IDU010,29,321,1,0
IDU010,30,247,1,0
IDU010,31,291,1,0
IDU010,32,370,1,0
IDU010,33,325,1,0
IDU010,34,-1,1,0
IDU010,35,336,1,0
IDU010,36,257,1,0
IDU010,37,324,1,0
IDU010,38,293,1,0
IDU010,39,305,1,0
IDU010,40,279,1,0
IDU010,41,250,1,0
IDU010,42,292,1,0
IDU010,43,-1,1,0
IDU010,44,251,1,0
IDU010,45,230,0,0
IDU010,46,392,1,0
IDU010,47,-1,1,0
IDU010,48,265,1,0
IDU010,49,-1,1,0
IDU010,50,272,1,0
IDU010,51,319,1,0
IDU010,52,-1,1,0
IDU010,53,0,1,0
IDU010,54,449,1,0
IDU010,55,-1,1,0
IDU010,56,297,1,0
IDU010,57,323,1,0
IDU010,58,324,1,0
IDU010,59,319,1,0
IDU010,60,-1,1,0
IDU010,61,318,1,0
IDU010,62,-1,1,0
IDU010,63,291,1,0
IDU010,64,290,1,0
IDU010,65,311,1,0
IDU010,66,283,1,0
IDU010,67,316,1,0
IDU010,68,335,1,0
IDU010,69,321,1,0
IDU010,70,324,1,0
IDU010,71,-1,1,0
IDU010,72,272,1,0
IDU010,73,403,1,0
IDU010,74,279,1,0
IDU010,75,266,1,0
IDU010,76,255,1,0
IDU010,77,329,1,0
IDU010,1,814,1,1
IDU010,2,836,1,1
IDU010,3,741,1,1
IDU010,4,765,1,1
IDU010,5,1510,1,1
IDU010,6,750,1,1
IDU010,7,769,1,1
IDU010,8,673,1,1
IDU010,9,771,1,1
IDU010,10,717,1,1
IDU010,11,876,1,1
IDU010,12,805,1,1
IDU010,13,820,1,1
IDU010,14,814,1,1
IDU010,15,593,1,1
IDU010,16,489,1,1
IDU010,17,808,1,1
IDU010,18,702,1,1
IDU010,19,469,1,1
IDU010,20,935,1,1
IDU010,21,490,1,1
IDU010,22,588,1,1
IDU010,23,771,1,1
IDU010,24,641,1,1
IDU010,1,800,-1,2
IDU010,1,2369,-1,4
IDU010,1,3169,-1,5
IDU010,2,0,-1,2
IDU010,2,2202,-1,4
IDU010,2,2202,-1,5
IDU010,2,667,-1,3
IDU010,3,0,-1,2
IDU010,3,2435,-1,4
IDU010,3,2435,-1,5
IDU010,3,533,-1,3
IDU010,4,734,-1,2
IDU010,4,3136,-1,4
IDU010,4,3870,-1,5
IDU010,4,300,-1,3
IDU010,5,1067,-1,2
IDU010,5,2702,-1,4
IDU010,5,3769,-1,5
IDU010,5,467,-1,3
IDU010,6,734,-1,2
IDU010,6,3136,-1,4
IDU010,6,3870,-1,5
IDU010,6,533,-1,3
IDU010,7,667,-1,2
IDU010,7,3168,-1,4
IDU010,7,3835,-1,5
IDU010,8,934,-1,2
IDU010,8,2301,-1,4
IDU010,8,3235,-1,5
IDU010,8,200,-1,3
IDU010,9,734,-1,2
IDU010,9,2902,-1,4
IDU010,9,3636,-1,5
IDU010,9,234,-1,3
IDU010,10,800,-1,2
IDU010,10,2901,-1,4
IDU010,10,3701,-1,5
IDU010,10,434,-1,3
IDU010,11,534,-1,2
IDU010,11,2635,-1,4
IDU010,11,3169,-1,5
IDU010,11,201,-1,3
IDU010,12,801,-1,2
IDU010,12,3102,-1,4
IDU010,12,3903,-1,5
IDU010,13,1100,-1,2
IDU010,13,2501,-1,4
IDU010,13,3601,-1,5
IDU010,13,468,-1,3
IDU010,14,333,-1,2
IDU010,14,4236,-1,4
IDU010,14,4569,-1,5
IDU010,15,634,-1,2
IDU010,15,2636,-1,4
IDU010,15,3270,-1,5
IDU010,15,534,-1,3
IDU010,16,200,-1,2
IDU010,16,3936,-1,4
IDU010,16,4136,-1,5
IDU011,1,368,1,0
IDU011,2,388,1,0
IDU011,3,266,1,0
IDU011,4,297,1,0
IDU011,5,-1,1,0
IDU011,6,287,1,0
IDU011,7,483,0,0
IDU011,8,375,1,0
IDU011,9,-1,1,0
IDU011,10,290,1,0
IDU011,11,430,1,0
IDU011,12,392,1,0
IDU011,13,410,1,0
IDU011,14,-1,1,0
IDU011,15,395,1,0
IDU011,16,399,1,0
IDU011,17,365,1,0
IDU011,18,331,1,0
IDU011,19,-1,1,0
IDU011,20,269,1,0
IDU011,21,422,1,0
IDU011,22,-1,1,0
IDU011,23,281,1,0
IDU011,24,434,1,0
IDU011,25,347,1,0
IDU011,26,300,1,0
IDU011,27,410,1,0
IDU011,28,-1,1,0
IDU011,29,315,1,0
IDU011,30,303,1,0
IDU011,31,343,1,0
IDU011,32,276,1,0
IDU011,33,301,1,0
IDU011,34,258,1,0
IDU011,35,284,1,0
IDU011,36,351,1,0
IDU011,37,236,1,0
IDU011,38,236,1,0
IDU011,39,238,1,0
IDU011,40,315,1,0
IDU011,41,258,1,0
IDU011,42,-1,1,0
IDU011,43,304,1,0
IDU011,44,354,1,0
IDU011,45,265,1,0
IDU011,46,230,1,0
IDU011,47,288,1,0
IDU011,48,-1,1,0
IDU011,49,232,1,0
IDU011,50,311,1,0
IDU011,51,-1,1,0
IDU011,52,315,1,0
IDU011,53,322,1,0
IDU011,54,320,1,0
IDU011,55,-1,1,0
IDU011,56,276,1,0
IDU011,57,315,1,0
IDU011,58,332,1,0
IDU011,59,-1,1,0
IDU011,60,301,1,0
IDU011,61,376,1,0
IDU011,62,312,1,0
IDU011,63,-1,1,0
IDU011,64,216,1,0
IDU011,65,270,1,0
IDU011,66,-1,1,0
IDU011,67,266,1,0
IDU011,68,-1,1,0
IDU011,69,529,1,0
IDU011,70,-1,1,0
IDU011,71,351,1,0
IDU011,72,418,1,0
IDU011,73,-1,1,0
IDU011,74,438,1,0
IDU011,75,454,1,0
IDU011,76,382,1,0
IDU011,77,316,1,0
IDU011,1,900,1,1
IDU011,2,2281,1,1
IDU011,3,995,1,1
IDU011,4,1783,1,1
IDU011,5,1141,1,1
IDU011,6,893,1,1
IDU011,7,946,1,1
IDU011,8,919,1,1
IDU011,9,1120,1,1
IDU011,10,949,1,1
IDU011,11,1089,1,1
IDU011,12,1476,1,1
IDU011,13,1113,1,1
IDU011,14,765,1,1
IDU011,15,1190,1,1
IDU011,16,1263,1,1
IDU011,17,816,1,1
IDU011,18,1097,1,1
IDU011,19,901,1,1
IDU011,20,890,1,1
IDU011,21,1445,1,1
IDU011,22,1029,1,1
IDU011,23,961,1,1
IDU011,24,979,1,1
IDU011,1,801,-1,2
IDU011,1,267,-1,4
IDU011,1,1068,-1,5
IDU011,1,1167,-1,3
IDU011,2,568,-1,2
IDU011,2,767,-1,4
IDU011,2,1335,-1,5
IDU011,2,600,-1,3
IDU011,3,734,-1,2
IDU011,3,600,-1,4
IDU011,3,1334,-1,5
IDU011,3,767,-1,3
IDU011,4,667,-1,2
IDU011,4,434,-1,4
IDU011,4,1101,-1,5
IDU011,4,500,-1,3
IDU011,5,533,-1,2
IDU011,5,633,-1,4
IDU011,5,1166,-1,5
IDU011,5,634,-1,3
IDU011,6,700,-1,2
IDU011,6,367,-1,4
IDU011,6,1067,-1,5
IDU011,6,600,-1,3
IDU011,7,667,-1,2
IDU011,7,367,-1,4
IDU011,7,1034,-1,5
IDU011,7,234,-1,3
IDU011,8,634,-1,2
IDU011,8,401,-1,4
IDU011,8,1035,-1,5
IDU011,8,467,-1,3
IDU011,9,601,-1,2
IDU011,9,500,-1,4
IDU011,9,1101,-1,5
IDU011,9,533,-1,3
IDU011,10,567,-1,2
IDU011,10,668,-1,4
IDU011,10,1235,-1,5
IDU011,10,467,-1,3
IDU011,11,468,-1,2
IDU011,11,567,-1,4
IDU011,11,1035,-1,5
IDU011,12,734,-1,2
IDU011,12,434,-1,4
IDU011,12,1168,-1,5
IDU011,12,634,-1,3
IDU011,13,600,-1,2
IDU011,13,567,-1,4
IDU011,13,1167,-1,5
IDU011,13,534,-1,3
IDU011,14,567,-1,2
IDU011,14,600,-1,4
IDU011,14,1167,-1,5
IDU011,15,667,-1,2
IDU011,15,400,-1,4
IDU011,15,1067,-1,5
IDU011,15,667,-1,3
IDU011,16,634,-1,2
IDU011,16,334,-1,4
IDU011,16,968,-1,5
IDU011,16,767,-1,3
IDU011,17,667,-1,2
IDU011,17,834,-1,4
IDU011,17,1501,-1,5
IDU011,17,534,-1,3
IDU012,1,334,1,0
IDU012,2,342,1,0
IDU012,3,244,1,0
IDU012,4,274,1,0
IDU012,5,313,1,0
IDU012,6,265,1,0
IDU012,7,322,1,0
IDU012,8,240,1,0
IDU012,9,244,1,0
IDU012,10,241,1,0
IDU012,11,260,1,0
IDU012,12,231,1,0
IDU012,13,101,1,0
IDU012,14,204,1,0
IDU012,15,211,1,0
IDU012,16,195,0,0
IDU012,17,320,1,0
IDU012,18,271,1,0
IDU012,19,334,1,0
IDU012,20,261,0,0
IDU012,21,329,1,0
IDU012,22,-1,1,0
IDU012,23,357,1,0
IDU012,24,-1,1,0
IDU012,25,291,1,0
IDU012,26,400,1,0
IDU012,27,344,1,0
IDU012,28,-1,1,0
IDU012,29,333,1,0
IDU012,30,341,1,0
IDU012,31,360,1,0
IDU012,32,339,1,0
IDU012,33,-1,1,0
IDU012,34,353,1,0
IDU012,35,392,1,0
IDU012,36,-1,1,0
IDU012,37,283,1,0
IDU012,38,341,1,0
IDU012,39,326,1,0
IDU012,40,311,1,0
IDU012,41,312,1,0
IDU012,42,-1,1,0
IDU012,43,300,1,0
IDU012,44,263,1,0
IDU012,45,297,1,0
IDU012,46,-1,1,0
IDU012,47,303,1,0
IDU012,48,370,1,0
IDU012,49,270,1,0
IDU012,50,313,1,0
IDU012,51,-1,1,0
IDU012,52,263,1,0
IDU012,53,324,1,0
IDU012,54,-1,1,0
IDU012,55,298,1,0
IDU012,56,-1,1,0
IDU012,57,303,1,0
IDU012,58,327,1,0
IDU012,59,314,1,0
IDU012,60,-1,1,0
IDU012,61,308,1,0
IDU012,62,344,1,0
IDU012,63,-1,1,0
IDU012,64,341,1,0
IDU012,65,306,1,0
IDU012,66,337,1,0
IDU012,67,0,1,0
IDU012,68,413,1,0
IDU012,69,0,1,0
IDU012,70,-1,1,0
IDU012,71,267,1,0
IDU012,72,-1,1,0
IDU012,73,303,1,0
IDU012,74,301,1,0
IDU012,75,317,1,0
IDU012,76,-1,1,0
IDU012,77,291,1,0
IDU012,1,1365,1,1
IDU012,2,935,1,1
IDU012,3,1128,1,1
IDU012,4,1134,1,1
IDU012,5,1111,1,1
