SUBJECT,T1_mean,T1_median,T1_std,T1_cv,T1_skewness,T1_kurtosis,T1_iqr,T1_outlier,T1_nsamples,T2_mean,T2_median,T2_std,T2_cv,T2_skewness,T2_kurtosis,T2_iqr,T2_outlier,T2_nsamples,T1+T2_mean,T1+T2_median,T1+T2_std,T1+T2_cv,T1+T2_skewness,T1+T2_kurtosis,T1+T2_iqr,T1+T2_outlier,T1+T2_nsamples,T3_mean,T3_median,T3_std,T3_cv,T3_skewness,T3_kurtosis,T3_iqr,T3_outlier,T3_nsamples,T3_IQR,T3_outliers
IDU002,695.1666666666666,700.5,116.29173086108344,0.16728611488048445,-0.15653586088642857,-1.3555068547265692,166.75,0,6,555.8333333333334,533.5,80.8935514529228,0.1455356248028596,0.33262737529197184,-1.4767527303469685,117.25,0,6,1251.0,1251.0,62.21896816887917,0.04973538622612244,0.0,-1.2770747518323111,83.5,0,6,491.75,550.0,128.83419577115387,0.26199124711978417,-1.1029714387407248,-0.7109817918894628,92.25,1.0,4,,
IDU008,542.0,550.5,68.39590631024637,0.12619170905949514,-0.12098593191965847,-1.840346016085165,107.5,0,4,500.25,500.0,182.20935760821945,0.3642365969179799,0.002844115630665394,-1.6419144749105732,249.75,0,4,1042.25,1033.5,205.388047364008,0.1970621706538815,0.14198669341315268,-1.0646905428920446,174.75,0,4,,,,,,,,,0,,
IDU011,550.5,550.5,69.49580323060283,0.12624124110917861,0.0,-1.1446718373880356,66.5,0,4,483.25,517.0,229.0813174398995,0.4740430779925494,-0.31808466645021904,-1.4991371873890664,300.75,0,4,1033.75,1100.5,213.05613501297412,0.20610025152403785,-0.8022833673546735,-0.9985542929973814,216.75,0,4,322.3333333333333,333.0,150.28417525918468,0.4662383927379049,-0.12973554841461588,-1.5,150.0,0.0,3,,
IDU013,544.8333333333334,533.5,125.72257818970571,0.2307541967385238,0.3349593152564323,-1.1516479274925944,166.0,0,6,1028.5,900.5,538.7722153192386,0.5238426984144274,0.6805452324216691,-0.5723613207929032,476.5,0,6,1573.3333333333333,1500.5,439.331158315304,0.2792359057088797,0.8088013879658907,-0.4449647719819989,443.0,0,6,350.0,350.0,24.041630560342615,0.06869037302955033,0.0,-2.0,17.0,0.0,2,,
IDU015,728.3333333333334,717.5,49.23278040763762,0.06759649483886172,0.3081002457274357,-1.142417244099097,58.5,0,6,772.6666666666666,700.0,458.3176482164599,0.5931634791412337,1.2079979530471765,0.2073940490194741,350.0,1,6,1501.0,1450.5,471.9610153391909,0.3144310561886682,1.0539886061113062,0.02793680805733567,374.25,1,6,313.4,266.0,114.9317188595037,0.36672533139599145,0.4071777693793253,-1.517578417450586,168.0,0.0,5,,
IDU017,500.2,567.0,190.45393143750013,0.38075556065073995,-1.3604149083758417,0.06632588376483595,67.0,1,5,566.8,467.0,204.6550756761239,0.36107105800304146,0.39995456230349535,-1.5883614157731587,301.0,0,5,1067.0,1066.0,309.0865574559981,0.2896781232014978,-0.2479643500428506,-1.0903748918019527,335.0,0,5,301.0,301.0,,,,,0.0,0.0,1,,
IDU019,708.5,716.5,110.2194780124336,0.15556736487287734,-0.24215387437536706,-1.044548106503727,91.5,0,4,441.5,466.5,74.03827838805186,0.16769711979173696,-0.9918084782287518,-0.7653913091548423,42.5,1,4,1150.0,1116.5,111.05854312028409,0.09657264619155138,0.6413773792507609,-1.1968447758844338,133.0,0,4,,,,,,,,,0,,
IDU021,678.3333333333334,717.0,179.74500456665456,0.26498035071251286,-1.3214537004234483,0.4215453923311303,109.0,1,6,411.3333333333333,400.0,95.87839520281234,0.2330917225352002,0.19205999442895405,-0.09891513771833393,25.5,2,6,1089.6666666666667,1134.0,261.3585021893619,0.23985179154728836,-1.1285148468085224,0.2644487387727703,125.25,1,6,450.0,450.0,70.71067811865476,0.15713484026367724,0.0,-2.0,50.0,0.0,2,,
IDU024,662.2857142857143,667.0,153.11620237117765,0.23119357562516038,-0.9843157678215282,-0.00821046147488591,166.0,1,7,405.14285714285717,367.0,143.38227292966238,0.3539054691493782,0.7227326726968137,-0.3586640138147308,151.0,0,7,1067.4285714285713,1067.0,130.66988577181448,0.12241557821235298,-0.35517427992042716,0.07451887247437661,83.5,2,7,480.6,401.0,161.32203817209847,0.3356679945320401,0.4837092629273602,-1.4999569987586516,234.0,0.0,5,,
IDU025,634.0,634.5,76.39371701913711,0.12049482179674624,-0.014889849988212724,-1.278070006731868,100.75,0,6,494.8333333333333,500.0,71.02229696839342,0.1435277136444461,-0.17206049449708982,-1.5788213270360398,115.5,0,6,1128.8333333333333,1150.5,114.26883506305062,0.10122737492666525,-0.22957990404446588,-1.3436316528111847,149.75,0,6,584.0,600.5,88.57012287824075,0.1516611693120561,-0.49238086579268786,-1.2413306918535776,100.5,0.0,4,,
IDU027,667.3333333333334,667.0,66.5006265634643,0.0996512885566398,0.009208289928753343,-1.5,66.5,0,3,400.0,433.0,88.25531145489205,0.22063827863723012,-0.5908851498404765,-1.5000000000000004,83.5,0,3,1067.3333333333333,1134.0,144.99080430611224,0.13584397655163546,-0.6661215393033408,-1.5000000000000016,133.0,0,3,483.5,483.5,23.33452377915607,0.04826168310063303,0.0,-2.0,16.5,0.0,2,,
IDU029,641.75,667.0,103.29044809016304,0.1609512241373791,-0.6570080798225069,-1.1047343582009745,109.25,0,4,392.0,383.5,116.9529820055906,0.2983494438918127,0.18740462553480464,-1.4179573181667409,142.5,0,4,1033.75,1067.5,152.14768045115466,0.14718034384634066,-0.5163486687354064,-1.3032548189577615,184.75,0,4,378.0,400.0,69.65629906907199,0.1842759234631534,-0.5223492925024834,-1.5,67.0,0.0,3,,
IDU031,545.0,534.0,259.2759148089155,0.47573562350259724,0.1390240218473606,-1.4741926539470973,334.0,0,6,478.5,367.5,256.32771992119774,0.5356901147778427,1.7779310315897645,1.1796368142995508,25.75,1,6,1023.5,901.5,421.02244595745725,0.4113555896018146,0.6159405611742843,-0.9829672085933616,509.25,0,6,378.3333333333333,401.0,68.85734044626858,0.18200178091524735,-0.5392164547911178,-1.5000000000000007,66.0,0.0,3,,
IDU033,658.625,717.0,221.57290802674538,0.33641739689010497,-0.31525091683212225,-0.3958733068538707,225.0,0,8,387.5,350.0,170.90598919539696,0.4410477140526373,0.5253181219132634,-1.200380558540212,224.5,0,8,1046.125,1000.5,126.96955484344606,0.12137130347085297,0.2681085022834954,-1.3923072818541256,191.75,0,8,293.6,267.0,63.892879102447715,0.21761879803286005,1.0238840274285297,-0.34129422274972443,33.0,1.0,5,,
IDU035,666.75,717.0,136.60008540748916,0.2048745187963842,-1.0180722373783961,-0.7702278101904523,100.75,1,4,475.5,434.0,83.0,0.17455310199789695,1.1547005383792515,-0.6666666666666665,41.5,1,4,1142.25,1151.0,191.42339634085135,0.16758450106443543,-0.15623847652444772,-1.0153141209020287,142.25,0,4,434.0,434.0,141.4213562373095,0.32585565953297124,0.0,-2.0,100.0,0.0,2,,
IDU037,800.4285714285714,800.0,90.16624856869882,0.11264746385523679,0.5425665634503029,0.207421910081655,49.5,2,7,414.42857142857144,433.0,60.47549680892017,0.14592501815320275,0.026445285023060046,-1.3193976456011158,83.5,0,7,1214.857142857143,1266.0,87.38502650421785,0.07193028992586135,-0.2685860147353998,-1.7615684793704187,149.5,0,7,422.1666666666667,450.0,131.2225844382996,0.3108312304105004,-0.39767898715372013,-1.30165027242012,183.25,0.0,6,,
IDU038,631.0909090909091,634.0,210.26909166373193,0.3331835217950232,-0.7972618164732855,-0.07384014654512283,184.0,1,11,627.8181818181819,601.0,162.5637217719982,0.2589343961036751,0.2249159964612553,-0.6212446549980095,150.0,0,11,1258.909090909091,1334.0,246.96009983212048,0.1961699233212973,-1.533668961314001,1.7569735570342875,233.5,1,11,704.5,650.5,122.48498450247455,0.17386087225333505,1.0524623361029644,-0.7398594027884817,91.5,2.0,8,,
IDU040,500.0,500.0,,,,,0.0,0,1,534.0,534.0,,,,,0.0,0,1,1034.0,1034.0,,,,,0.0,0,1,367.0,367.0,,,,,0.0,0.0,1,,
ALL,641.2755102040817,667.0,162.1100415755727,0.2527931271287473,-0.6918858554350755,0.5509576000333896,191.75,3,98,529.9081632653061,467.0,262.46335381843795,0.4952996991047143,2.7044084652803835,10.237633395811399,200.75,4,98,1171.1836734693877,1150.5,280.55505907752826,0.23954830094791393,1.3095646819178974,5.02037368202204,265.75,8,98,450.875,433.0,164.1363139145465,0.3640395096524458,0.6176130225153011,0.13490713273616795,242.0,0.0,56,,
